#IP,serverType(splitBy;),os,sshPort,hostname,targetMysql,extC,EndOfLine
10.64.12.38,common-base;adminServer,el5,22,,,,eol
10.7.0.54,common-base;adminServer,el5,22,,,,eol
10.7.0.55,common-base;adminServer,el5,22,,,,eol
10.70.32.100,common-base;adminServer,el6,12322,,,,eol
10.70.32.102,common-base;adminServer,el6,12322,,,,eol
10.70.32.105,common-base;adminServer,el6,12322,,,,eol
10.64.12.37,common-base;adminServer-12.37;common-python_2.7,el5,22,,,,eol
10.70.58.48,common-base;adminServer-58.48,el5,12322,,,,eol
10.70.63.131,common-base;adminServer-centralControl;adminServer-svnServer-cluster63.228;adminServer-jenkinsServer;common-beaver-shipper,el5,12322,,,,eol
192.168.112.120,common-base;adminServer-devJumper,el5,22,,,,eol
10.70.32.76,common-base;adminServer-DNS,el5,22,,,,eol
10.70.32.77,common-base;adminServer-DNS,el5,22,,,,eol
10.70.63.130,common-base;adminServer-DNS,el5,12322,,,,eol
10.70.63.146,common-base;adminServer-DNS,el5,22,,,,eol
10.70.36.196,common-base;adminServer-ldapServer-master,el6,22,ldap1.ops.cntv.priv,,,eol
10.70.36.197,common-base;adminServer-ldapServer-slave,el6,22,ldap2.ops.cntv.priv,,,eol
10.64.12.49,common-base;adminServer-svnServer;adminServer-ldapServer-slave;adminServer-jenkinsServer,el5,22,ldap3.ops.cntv.priv,,,eol
10.70.58.196,common-base;adminServer-svnServer-cluster63.228;adminServer-jenkinsServer,el6,22,,,,eol
10.70.58.184,common-base;docker,el6,22,,,,eol
10.70.58.183,common-base;docker-registry,el6,22,,,,eol
10.70.36.85,common-base,el5,22,,,,eol
10.70.36.86,common-base,el5,22,,,,eol
10.70.36.87,common-base,el5,22,,,,eol
10.70.36.88,common-base,el5,22,,,,eol
10.70.36.89,common-base,el5,22,,,,eol
10.70.62.79,common-base,el5,12322,,,,eol
10.70.62.80,common-base,el5,12322,,,,eol
10.70.62.81,common-base,el5,12322,,,,eol
10.70.62.82,common-base,el5,12322,,,,eol
10.70.62.83,common-base,el5,12322,,,,eol
10.70.62.84,common-base,el5,12322,,,,eol
10.70.63.126,common-base,el5,12322,,,,eol
10.70.63.127,common-base,el5,12322,,,,eol
10.70.63.133,common-base,el5,12322,,,,eol
10.70.63.134,common-base,el5,12322,,,,eol
#10.70.36.85,common-base;project-history-web,el5,12322,v-szq-OCMS-web server 1,,,eol
#10.70.36.86,common-base;project-history-web,el5,12322,v-szq-OCMS-web server 2,,,eol
#10.70.36.87,common-base;project-history-web,el5,12322,v-szq-OCMS-web server 3,,,eol
#10.70.36.88,common-base;project-history-web,el5,12322,v-szq-OCMS-web server 4,,,eol
#10.70.36.89,common-base;project-history-web,el5,12322,v-szq-OCMS-web server 5,,,eol
10.70.62.93,common-base;project-reader-web,el5,12322,,,,eol
10.70.36.112,common-base;project-share-web,el5,12322,,,,eol
10.70.36.113,common-base;project-share-web,el5,12322,,,,eol
10.70.62.106,common-base;project-weibo-3g,el5,12322,,,,eol
10.70.62.218,common-base;project-weibo-3g,el5,12322,,,,eol
10.70.56.23,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.62.102,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.62.103,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.63.154,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.63.155,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.63.156,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.63.157,common-base;project-weibo-cache,el5,12322,,,,eol
10.70.63.158,common-base;project-weibo-cache-session,el5,12322,,,,eol
10.70.63.159,common-base;project-weibo-cache-session,el5,12322,,,,eol
10.70.63.140,common-base;project-weibo-static,el5,12322,,,,eol
10.70.63.141,common-base;project-weibo-static,el5,12322,,,,eol
10.70.36.16,common-base;project-weibo-static-spare,el5,12322,,,,eol
10.70.36.17,common-base;project-weibo-static-spare,el5,12322,,,,eol
10.64.0.225,common-base;project-weibo-html,el5,12322,,,,eol
10.64.0.234,common-base;project-weibo-html;project-weibo-crontabA,el5,12322,,,,eol
10.64.0.230,common-base;project-weibo-html;project-weibo-crontabB,el5,12322,,,,eol
10.70.32.62,common-base;project-weibo-paike,el6,12322,,,,eol
10.64.0.228,common-base;project-weibo-robot,el5,12322,,,,eol
10.70.62.91,common-base;project-weibo-smsPlatform,el5,12322,,,,eol
10.70.62.184,common-base;project-weibo-sync;common-beaver-shipper,el5,12322,,,,eol
10.70.62.185,common-base;project-weibo-sync;common-beaver-shipper,el5,12322,,,,eol
10.72.2.24,common-base;project-weibo-vcsCenter;project-weibo-web-stage,el5,12322,,,,eol
10.70.56.15,common-base;project-weibo-videoInterface,el5,12322,,,,eol
#10.70.56.140,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.146,,eol
#10.70.56.151,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.146,,eol
#10.70.56.152,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.146,,eol
#10.70.56.161,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.146,,eol
#10.70.56.162,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.146,,eol
10.70.56.17,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.193,,eol
10.70.56.18,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.64.12.47,,eol
#10.70.58.149,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.147,,eol
#10.70.58.150,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.147,,eol
#10.70.58.151,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.147,,eol
#10.70.58.152,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.178,,eol
#10.70.58.153,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.178,,eol
#10.70.58.154,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.178,,eol
#10.70.58.155,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.178,,eol
#10.70.58.156,common-base;project-weibo-web;common-beaver-shipper,el6,22,,10.70.56.178,,eol
10.70.62.100,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.192,,eol
10.70.62.101,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.192,,eol
10.70.62.186,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.193,,eol
10.70.62.187,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.192,,eol
10.70.62.94,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.70.62.193,,eol
10.70.63.121,common-base;project-weibo-web;common-beaver-shipper,el5,12322,,10.64.12.47,,eol
10.72.2.58,common-base;project-weibo-web-admin;common-beaver-shipper,el5,12322,,10.72.4.2,,eol
192.168.165.56,common-base;project-weibo-web-admin;common-beaver-shipper,el5,12322,,10.72.4.2,,eol
10.70.62.197,common-base;project-weibo-cdnRepo,el5,12322,,10.64.12.47,,eol
10.70.62.196,common-base;project-weibo-cdnRepo;project-weibo-sync-qqSohu,el5,12322,,10.64.12.47,,eol
10.64.1.174,common-base;project-es-node,el6,22,,,,eol
10.64.1.175,common-base;project-es-node,el6,22,,,,eol
10.64.1.176,common-base;project-es-node,el6,22,,,,eol
10.64.1.177,common-base;project-es-node,el6,22,,,,eol
10.70.58.190,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.191,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.192,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.193,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.194,common-base;project-taihai-web,el6,22,,,,eol
10.70.58.195,common-base;project-taihai-web,el6,22,,,,eol
10.70.56.146,common-base;common-nginx-lua,el6,22,,,,eol
10.70.58.147,common-base;common-nginx-php,el6,22,,10.70.56.147,,eol
10.70.58.148,common-base;common-nginx-lua;project-boardcast-lua,el6,22,,10.70.56.147,,eol
10.70.59.11,common-base;common-nginx;common-jdk-tomcat;common-memcached;project-boardcast-web,el6,22,,,,eol
10.70.59.12,common-base;common-nginx;common-jdk-tomcat;common-memcached;project-boardcast-web,el6,22,,,,eol
10.70.59.13,common-base,el6,22,,,,eol
10.70.59.14,common-base,el6,22,,,,eol
10.70.59.15,common-base,el6,22,,,,eol
10.70.59.16,common-base,el6,22,,,,eol
10.70.59.17,common-base,el6,22,,,,eol
10.64.0.1,common-base,el6,22,,,,eol
10.64.0.2,common-base,el6,22,,,,eol
10.64.0.3,common-base,el6,22,,,,eol
10.64.0.4,common-base,el6,22,,,,eol
